Reference number,Economic city,District Name,Last activity date in years,Quarter,Land use,Contract value, Property area 
32022004040849,King Abdullah Economic City,Murooj,2022,4,Residential," 1,450,000 ", 631.75 
32022004040727,King Abdullah Economic City,Murooj,2022,4,Residential," 1,651,844 ", 633.40 
32022004040595,King Abdullah Economic City,Murooj,2022,4,Residential," 1,232,977 ", 254.09 
32022004040489,King Abdullah Economic City,Murooj,2022,4,Residential," 1,000,000 ", 704.00 
32022004040469,King Abdullah Economic City,Hejaz,2022,4,Residential," 409,836 ", 336.00 
32022004040457,King Abdullah Economic City,Murooj,2022,4,Residential," 2,269,888 "," 1,336.46 "
32022004040435,King Abdullah Economic City,Murooj,2022,4,Residential," 7,349,882 "," 1,584.13 "
32022004040428,King Abdullah Economic City,Talah,2022,4,Residential," 465,000 ", 378.00 
32022004040427,King Abdullah Economic City,Murooj,2022,4,Residential," 1,529,888 "," 1,221.56 "
32022004040426,King Abdullah Economic City,Murooj,2022,4,Residential," 1,174,677 ", 778.80 
32022004040399,King Abdullah Economic City,Bay La Sun,2022,4,Residential," 768,651 ", 96.24 
32022004040373,King Abdullah Economic City,Hareer,2022,4,Residential," 583,977 ", 127.09 
32022004040365,King Abdullah Economic City,Talah,2022,4,Residential," 580,500 ", 436.25 
32022004040363,King Abdullah Economic City,Hareer,2022,4,Residential," 501,270 ", 127.09 
32022004040351,King Abdullah Economic City,Talah,2022,4,Residential," 717,000 ", 509.35 
32022004040280,King Abdullah Economic City,Murooj,2022,4,Residential," 590,888 ", 99.81 
32022004040270,King Abdullah Economic City,Hareer,2022,4,Residential," 230,000 ", 62.14 
32022004040216,King Abdullah Economic City,Hareer,2022,4,Residential," 555,382 ", 127.09 
32022004040202,King Abdullah Economic City,Talah,2022,4,Residential," 290,000 ", 489.32 
32022004040197,King Abdullah Economic City,Talah,2022,4,Residential," 200,000 ", 271.67 
32022004040192,King Abdullah Economic City,Talah,2022,4,Residential," 292,888 ", 301.53 
32022004040181,King Abdullah Economic City,Murooj,2022,4,Residential," 5,499,877 "," 2,375.33 "
32022004040153,King Abdullah Economic City,Murooj,2022,4,Residential," 440,000 ", 466.95 
32022004040147,King Abdullah Economic City,Murooj,2022,4,Residential," 891,888 ", 481.97 
32022004040140,King Abdullah Economic City,Talah,2022,4,Residential," 328,900 ", 274.72 
32022004040139,King Abdullah Economic City,Murooj,2022,4,Residential," 1,200,000 ", 407.70 
32022004040127,King Abdullah Economic City,Bay La Sun,2022,4,Residential," 700,000 ", 120.84 
32022004040104,King Abdullah Economic City,Hareer,2022,4,Residential," 350,000 ", 96.14 
32022004040098,King Abdullah Economic City,Talah,2022,4,Residential," 332,000 ", 300.00 
32022004040085,King Abdullah Economic City,Hareer,2022,4,Residential," 323,021 ", 62.14 
32022004040077,King Abdullah Economic City,Murooj,2022,4,Residential," 563,780 ", 70.42 
32022004040053,King Abdullah Economic City,Bay La Sun,2022,4,Residential," 997,888 ", 139.05 
32022004040052,King Abdullah Economic City,Murooj,2022,4,Residential," 748,888 ", 426.32 
